customer_id,email,state,plan,plan_list_price,churn_status,churn,total_events,active_days,last_activity,unique_event_types,events_per_active_day,events_last_30d,active_days_last_30d,total_tickets,avg_resolution_time_hours,max_resolution_time_hours,unique_topics,most_common_channel,gdpr_tickets,had_support,tickets_last_30d,days_since_last_activity,engagement_quartile
C10000,user10000@example.com,NJ,enterprise,105.0,Y,1.0,3.0,3.0,2025-11-13 00:14:10.471225,2.0,1.0,1.0,1.0,3.0,21.44666666666667,23.77,3.0,email,0.0,True,0.0,18.0,high
C10001,user10001@example.net,LA,basic,22.0,Y,1.0,1.0,1.0,2025-06-22 06:40:26.706374,1.0,1.0,0.0,0.0,4.0,17.5425,26.44,3.0,phone,0.0,True,1.0,162.0,low
C10002,user10002@example.net,OK,basic,24.0,,,1.0,1.0,2025-09-17 17:33:50.117062,1.0,1.0,0.0,0.0,3.0,6.433333333333334,10.32,2.0,chat,0.0,True,0.0,75.0,low
C10003,user10003@example.com,MI,free,0.0,,,1.0,1.0,2025-09-15 10:21:59.595794,1.0,1.0,0.0,0.0,1.0,2.19,2.19,1.0,-,0.0,True,0.0,77.0,low
C10004,user10004@example.com,TX,enterprise,119.0,,,4.0,4.0,2025-10-11 05:17:36.302142,2.0,1.0,0.0,0.0,4.0,8.5425,10.45,2.0,email,0.0,True,1.0,51.0,high
C10005,user10005@example.org,OH,enterprise,114.0,,,1.0,1.0,2025-06-24 21:26:29.854399,1.0,1.0,0.0,0.0,2.0,7.8149999999999995,8.6,2.0,phone,0.0,True,0.0,159.0,low
C10006,user10006@example.com,KY,basic,19.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,6.859999999999999,11.85,2.0,phone,0.0,True,0.0,,low
C10007,user10007@example.com,NC,basic,10.0,Y,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,25.166666666666668,28.94,3.0,-,0.0,True,0.0,,low
C10008,user10008@example.net,AK,enterprise,87.0,,,2.0,2.0,2025-10-20 13:15:19.305376,2.0,1.0,0.0,0.0,1.0,4.58,4.58,1.0,email,0.0,True,0.0,42.0,mid
C10009,user10009@example.com,VA,free,0.0,,,4.0,4.0,2025-11-14 06:28:35.207671,3.0,1.0,1.0,1.0,3.0,8.273333333333333,10.72,1.0,phone,0.0,True,1.0,17.0,high
C10010,user10010@example.net,KS,pro,51.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.856666666666667,4.97,3.0,phone,0.0,True,0.0,,low
C10011,user10011@example.net,AZ,pro,57.0,,,1.0,1.0,2025-11-23 00:47:01.628662,1.0,1.0,1.0,1.0,2.0,8.815,9.77,1.0,phone,0.0,True,0.0,8.0,low
C10012,user10012@example.net,ID,enterprise,93.0,,,2.0,2.0,2025-11-26 20:18:36.204176,2.0,1.0,1.0,1.0,2.0,3.525,3.59,2.0,email,0.0,True,0.0,5.0,mid
C10013,user10013@example.com,AK,enterprise,104.0,,,1.0,1.0,2025-06-28 12:45:39.729069,1.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,False,0.0,156.0,low
C10014,user10014@example.com,CT,free,0.0,Y,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,24.19666666666667,26.66,2.0,chat,0.0,True,0.0,,low
C10015,user10015@example.com,KS,enterprise,110.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,7.155,9.55,2.0,phone,0.0,True,0.0,,low
C10016,user10016@example.net,CO,enterprise,138.0,,,1.0,1.0,2025-10-22 10:44:46.713402,1.0,1.0,0.0,0.0,2.0,6.23,7.22,2.0,email,0.0,True,1.0,40.0,low
C10017,user10017@example.org,RI,basic,24.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,7.19,7.19,1.0,chat,0.0,True,0.0,,low
C10018,user10018@example.org,ID,pro,57.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,8.142,11.72,3.0,email,0.0,True,1.0,,low
C10019,user10019@example.org,ME,enterprise,100.0,,,2.0,2.0,2025-10-28 03:17:59.539213,2.0,1.0,0.0,0.0,1.0,6.29,6.29,1.0,email,0.0,True,0.0,34.0,mid
C10020,user10020@example.org,WI,basic,16.0,,,2.0,2.0,2025-10-12 03:37:58.337253,1.0,1.0,0.0,0.0,1.0,7.32,7.32,1.0,phone,1.0,True,0.0,50.0,mid
C10021,user10021@example.org,VT,pro,64.0,Y,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,17.46666666666667,22.19,1.0,chat,0.0,True,1.0,,low
C10022,user10022@example.com,FL,free,0.0,Y,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,15.959999999999999,20.7,2.0,chat,0.0,True,0.0,,low
C10023,user10023@example.com,TX,pro,32.0,,,1.0,1.0,2025-11-05 02:56:48.236721,1.0,1.0,1.0,1.0,4.0,5.825,10.64,2.0,email,0.0,True,0.0,26.0,low
C10024,user10024@example.net,DE,enterprise,90.0,,,3.0,3.0,2025-07-27 05:04:45.425725,3.0,1.0,0.0,0.0,2.0,5.715,10.45,2.0,chat,0.0,True,0.0,127.0,high
C10025,user10025@example.com,CO,free,0.0,Y,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,17.003333333333334,23.21,2.0,phone,0.0,True,0.0,,low
C10026,user10026@example.org,NY,pro,43.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,7.7775,10.75,3.0,email,0.0,True,1.0,,low
C10027,user10027@example.net,MT,pro,51.0,,,1.0,1.0,2025-09-02 00:54:28.443647,1.0,1.0,0.0,0.0,2.0,6.745,9.08,1.0,email,0.0,True,1.0,90.0,low
C10028,user10028@example.com,KY,enterprise,92.0,,,1.0,1.0,2025-09-15 06:24:38.833312,1.0,1.0,0.0,0.0,2.0,1.98,2.98,1.0,chat,0.0,True,0.0,77.0,low
C10029,user10029@example.com,MO,pro,51.0,,,2.0,2.0,2025-11-09 12:13:17.696846,2.0,1.0,1.0,1.0,4.0,6.6625000000000005,10.71,4.0,phone,1.0,True,0.0,22.0,mid
C10030,user10030@example.com,WV,enterprise,119.0,,,1.0,1.0,2025-09-19 07:34:04.409871,1.0,1.0,0.0,0.0,2.0,6.965,10.51,1.0,chat,0.0,True,0.0,73.0,low
C10031,user10031@example.org,CT,free,0.0,,,2.0,2.0,2025-10-08 16:39:03.692020,2.0,1.0,0.0,0.0,4.0,3.7199999999999998,6.22,3.0,chat,0.0,True,0.0,54.0,mid
C10032,user10032@example.org,NM,enterprise,104.0,Y,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,21.6,27.9,2.0,email,0.0,True,0.0,,low
C10033,user10033@example.org,OH,pro,42.0,Y,1.0,1.0,1.0,2025-09-28 22:53:09.996411,1.0,1.0,0.0,0.0,1.0,16.78,16.78,1.0,chat,0.0,True,0.0,63.0,low
C10034,user10034@example.com,IA,enterprise,139.0,Y,1.0,2.0,2.0,2025-11-22 07:38:45.332631,2.0,1.0,2.0,2.0,2.0,21.5,22.81,2.0,phone,0.0,True,1.0,9.0,mid
